아	a
ᆋ	ueoeu
ᆌ	uye
ᆍ	uu
ᆎ	yua
ᆏ	yueo
ᆐ	yue
ᆑ	yuyeo
ᆒ	yuye
ᆓ	yuu
ᆔ	yui
ᆕ	euu
ᆖ	eueu
ᆗ	uiu
ᆘ	ia
ᆙ	iya
ᆚ	io
ᆛ	iu
ᆜ	ieu
ᆝ	ii
ᆞ	i
ᆟ	ieo
ᆠ	iu
ᆡ	ii
ᆢ	ii
ᆣ	aeu
ᆤ	yau
ᆥ	yeoya
ᆦ	oya
ᆧ	oyae
ᆨ	g
ᆩ	kk
ᆪ	gs
ᆫ	n
ᆬ	nj
ᆭ	nh
ᆮ	d
ᆯ	r
ᆰ	rg
ᆱ	rm
ᆲ	rb
ᆳ	rs
ᆴ	rt
ᆵ	rp
ᆶ	rh
ᆷ	m
ᆸ	b
ᆹ	bs
ᆺ	s
ᆻ	ss
ᆼ	ng
ᆽ	j
ᆾ	ch
ᆿ	k
ᇀ	t
ᇁ	p
ᇂ	h
ᇃ	gr
ᇄ	gsg
ᇅ	ng
ᇆ	nd
ᇇ	ns
ᇈ	nnj
ᇉ	nt
ᇊ	dg
ᇋ	dr
ᇌ	rgs
ᇍ	rn
ᇎ	rd
ᇏ	rdh
ᇐ	rr
ᇑ	rmg
ᇒ	rms
ᇓ	rbs
ᇔ	rbh
ᇕ	rbng
ᇖ	rss
ᇗ	rnj
ᇘ	rk
ᇙ	reung
ᇚ	mg
ᇛ	mr
ᇜ	mb
ᇝ	ms
ᇞ	mss
ᇟ	mnj
ᇠ	mch
ᇡ	mh
ᇢ	mng
ᇣ	br
ᇤ	bp
ᇥ	bh
ᇦ	bng
ᇧ	sg
ᇨ	sd
ᇩ	sr
ᇪ	sb
ᇫ	nj
ᇬ	ngg
ᇭ	ngkk
ᇮ	ngng
ᇯ	ngk
ᇰ	ng
ᇱ	ngs
ᇲ	ngnj
ᇳ	pb
ᇴ	png
ᇵ	hn
ᇶ	hr
ᇷ	hm
ᇸ	hb
ᇹ	eung
ᇺ	gn
ᇻ	gb
ᇼ	gch
ᇽ	gk
ᇾ	gh
ᇿ	nn
ㄱ	g
ㄲ	kk
ㄳ	gs
ㄴ	n
ㄵ	nj
ㄶ	nh
ㄷ	d
ㄸ	tt
ㄹ	r
ㄺ	rg
ㄻ	rm
ㄼ	rb
ㄽ	rs
ㄾ	rt
ㄿ	rp
ㅀ	rh
ㅁ	m
ㅂ	b
ㅃ	pp
ㅄ	ps
ㅅ	s
ㅆ	ss
ㅇ	ng
ㅈ	j
ㅉ	jj
ㅊ	ch
ㅋ	k
ㅌ	t
ㅍ	p
ㅎ	h
ㅏ	a
ㅐ	ae
ㅑ	ya
ㅒ	yae
ㅓ	eo
ㅔ	e
ㅕ	yeo
ㅖ	ye
ㅗ	o
ㅘ	wa
ㅙ	wae
ㅚ	oe
ㅛ	yo
ㅜ	u
ㅝ	wo
ㅞ	we
ㅟ	wi
ㅠ	yu
ㅡ	eu
ㅢ	ui
ㅣ	i
ㅥ	nn
ㅦ	nd
ㅧ	ns
ㅨ	nnj
ㅩ	rgs
ㅪ	rd
ㅫ	rbs
ㅬ	rnj
ㅭ	reung
ㅮ	mb
ㅯ	ms
ㅰ	mnj
ㅱ	mng
ㅲ	bg
ㅳ	bd
ㅴ	bsg
ㅵ	bsd
ㅶ	bj
ㅷ	bt
ㅸ	bng
ㅹ	ppng
ㅺ	sg
ㅻ	sn
ㅼ	sd
ㅽ	sb
ㅾ	sj
ㅿ	nj
ㆀ	ngng
ㆁ	ng
ㆂ	ngs
ㆃ	ngnj
ㆄ	png
ㆅ	hh
ㆆ	eung
ㆇ	yoya
ㆈ	yoyae
ㆉ	yoi
ㆊ	yuyeo
ㆋ	yuye
ㆌ	yui
ㆍ	i
ㆎ	ii
ꥠ	dm
ꥡ	db
ꥢ	ds
ꥣ	dj
ꥤ	rg
ꥥ	rkk
ꥦ	rd
ꥧ	rtt
ꥨ	rm
ꥩ	rb
ꥪ	rpp
ꥫ	rbng
ꥬ	rs
ꥭ	rj
ꥮ	rk
ꥯ	mg
ꥰ	md
ꥱ	ms
ꥲ	bst
ꥳ	bk
ꥴ	bh
ꥵ	ssb
ꥶ	ngr
ꥷ	ngh
ꥸ	jjh
ꥹ	tt
ꥺ	ph
ꥻ	hs
ꥼ	eungeung
ힰ	oyeo
ힱ	ooi
ힲ	yoa
ힳ	yoae
ힴ	yoeo
ힵ	uyeo
ힶ	uii
ힷ	yuae
ힸ	yuo
ힹ	eua
ힺ	eueo
ힻ	eue
ힼ	euo
ힽ	iyao
ힾ	iyae
ힿ	iyeo
ퟀ	iye
ퟁ	ioi
ퟂ	iyo
ퟃ	iyu
ퟄ	ii
ퟅ	ia
ퟆ	ie
ퟋ	nr
ퟌ	nj
ퟍ	tt
ퟎ	ttb
ퟏ	db
ퟐ	ds
ퟑ	dsg
ퟒ	dj
ퟓ	dch
ퟔ	dt
ퟕ	rkk
ퟖ	rgh
ퟗ	rrk
ퟘ	rmh
ퟙ	rbd
ퟚ	rbp
ퟛ	rh
ퟜ	reungh
ퟝ	rng
ퟞ	mn
ퟟ	mnn
ퟠ	mm
ퟡ	mbs
ퟢ	mj
ퟣ	bd
ퟤ	brp
ퟥ	bm
ퟦ	pp
ퟧ	bsd
ퟨ	bj
ퟩ	bch
ퟪ	sm
ퟫ	sbng
ퟬ	ssg
ퟭ	ssd
ퟮ	snj
ퟯ	sj
ퟰ	sch
ퟱ	st
ퟲ	sh
ퟳ	njb
ퟴ	njbng
ퟵ	ngm
ퟶ	ngh
ퟷ	jb
ퟸ	jpp
ퟹ	jj
ퟺ	ps
ퟻ	pt
가	ga
각	gak
갂	gakk
갃	gaks
간	gan
갅	ganj
갆	ganh
갇	gat
갈	gal
갉	galk
갊	galm
갋	galp
갌	gals
갍	galt
갎	galp
갏	galh
감	gam
갑	gap
값	gaps
갓	gas
갔	gass
강	gang
갖	gaj
갗	gach
갘	gak
같	gat
갚	gap
갛	gah
개	gae
객	gaek
갞	gaekk
갟	gaeks
갠	gaen
갡	gaenj
갢	gaenh
갣	gaet
갤	gael
갥	gaelk
갦	gaelm
갧	gaelp
갨	gaels
갩	gaelt
갪	gaelp
갫	gaelh
갬	gaem
갭	gaep
갮	gaeps
갯	gaes
갰	gaess
갱	gaeng
갲	gaej
갳	gaech
갴	gaek
갵	gaet
갶	gaep
갷	gaeh
갸	gya
갹	gyak
갺	gyakk
갻	gyaks
갼	gyan
갽	gyanj
갾	gyanh
갿	gyat
걀	gyal
걁	gyalk
걂	gyalm
걃	gyalp
걄	gyals
걅	gyalt
걆	gyalp
걇	gyalh
걈	gyam
걉	gyap
걊	gyaps
걋	gyas
걌	gyass
걍	gyang
걎	gyaj
걏	gyach
걐	gyak
걑	gyat
걒	gyap
걓	gyah
걔	gyae
걕	gyaek
걖	gyaekk
걗	gyaeks
걘	gyaen
걙	gyaenj
걚	gyaenh
걛	gyaet
걜	gyael
걝	gyaelk
걞	gyaelm
걟	gyaelp
걠	gyaels
걡	gyaelt
걢	gyaelp
걣	gyaelh
걤	gyaem
걥	gyaep
걦	gyaeps
걧	gyaes
걨	gyaess
걩	gyaeng
걪	gyaej
걫	gyaech
걬	gyaek
걭	gyaet
걮	gyaep
걯	gyaeh
거	geo
걱	geok
걲	geokk
걳	geoks
건	geon
걵	geonj
걶	geonh
걷	geot
걸	geol
걹	geolk
걺	geolm
걻	geolp
걼	geols
걽	geolt
걾	geolp
걿	geolh
검	geom
겁	geop
겂	geops
것	geos
겄	geoss
겅	geong
겆	geoj
겇	geoch
겈	geok
겉	geot
겊	geop
겋	geoh
게	ge
겍	gek
겎	gekk
겏	geks
겐	gen
겑	genj
겒	genh
겓	get
겔	gel
겕	gelk
겖	gelm
겗	gelp
겘	gels
겙	gelt
겚	gelp
겛	gelh
겜	gem
겝	gep
겞	geps
겟	ges
겠	gess
겡	geng
겢	gej
겣	gech
겤	gek
겥	get
겦	gep
겧	geh
겨	gyeo
격	gyeok
겪	gyeokk
겫	gyeoks
견	gyeon
겭	gyeonj
겮	gyeonh
겯	gyeot
결	gyeol
겱	gyeolk
겲	gyeolm
겳	gyeolp
겴	gyeols
겵	gyeolt
겶	gyeolp
겷	gyeolh
겸	gyeom
겹	gyeop
겺	gyeops
겻	gyeos
겼	gyeoss
경	gyeong
겾	gyeoj
겿	gyeoch
곀	gyeok
곁	gyeot
곂	gyeop
곃	gyeoh
계	gye
곅	gyek
곆	gyekk
곇	gyeks
곈	gyen
곉	gyenj
곊	gyenh
곋	gyet
곌	gyel
곍	gyelk
곎	gyelm
곏	gyelp
곐	gyels
곑	gyelt
곒	gyelp
곓	gyelh
곔	gyem
곕	gyep
곖	gyeps
곗	gyes
곘	gyess
곙	gyeng
곚	gyej
곛	gyech
곜	gyek
곝	gyet
곞	gyep
곟	gyeh
고	go
곡	gok
곢	gokk
곣	goks
곤	gon
곥	gonj
곦	gonh
곧	got
골	gol
곩	golk
곪	golm
곫	golp
곬	gols
곭	golt
곮	golp
곯	golh
곰	gom
곱	gop
곲	gops
곳	gos
곴	goss
공	gong
곶	goj
곷	goch
곸	gok
곹	got
곺	gop
곻	goh
과	gwa
곽	gwak
곾	gwakk
곿	gwaks
관	gwan
괁	gwanj
괂	gwanh
괃	gwat
괄	gwal
괅	gwalk
괆	gwalm
괇	gwalp
괈	gwals
괉	gwalt
괊	gwalp
괋	gwalh
괌	gwam
괍	gwap
괎	gwaps
괏	gwas
괐	gwass
광	gwang
괒	gwaj
괓	gwach
괔	gwak
괕	gwat
괖	gwap
괗	gwah
괘	gwae
괙	gwaek
괚	gwaekk
괛	gwaeks
괜	gwaen
괝	gwaenj
괞	gwaenh
괟	gwaet
괠	gwael
괡	gwaelk
괢	gwaelm
괣	gwaelp
괤	gwaels
괥	gwaelt
괦	gwaelp
괧	gwaelh
괨	gwaem
괩	gwaep
괪	gwaeps
괫	gwaes
괬	gwaess
괭	gwaeng
괮	gwaej
괯	gwaech
괰	gwaek
괱	gwaet
괲	gwaep
괳	gwaeh
괴	goe
괵	goek
괶	goekk
괷	goeks
괸	goen
괹	goenj
괺	goenh
괻	goet
괼	goel
괽	goelk
괾	goelm
괿	goelp
굀	goels
굁	goelt
굂	goelp
굃	goelh
굄	goem
굅	goep
굆	goeps
굇	goes
굈	goess
굉	goeng
굊	goej
굋	goech
굌	goek
굍	goet
굎	goep
굏	goeh
교	gyo
굑	gyok
굒	gyokk
굓	gyoks
굔	gyon
굕	gyonj
굖	gyonh
굗	gyot
굘	gyol
굙	gyolk
굚	gyolm
굛	gyolp
굜	gyols
굝	gyolt
굞	gyolp
굟	gyolh
굠	gyom
굡	gyop
굢	gyops
굣	gyos
굤	gyoss
굥	gyong
굦	gyoj
굧	gyoch
굨	gyok
굩	gyot
굪	gyop
굫	gyoh
구	gu
국	guk
굮	gukk
굯	guks
군	gun
굱	gunj
굲	gunh
굳	gut
굴	gul
굵	gulk
굶	gulm
굷	gulp
굸	guls
굹	gult
굺	gulp
굻	gulh
굼	gum
굽	gup
굾	gups
굿	gus
궀	guss
궁	gung
궂	guj
궃	guch
궄	guk
궅	gut
궆	gup
궇	guh
궈	gwo
궉	gwok
궊	gwokk
궋	gwoks
권	gwon
궍	gwonj
궎	gwonh
궏	gwot
궐	gwol
궑	gwolk
궒	gwolm
궓	gwolp
궔	gwols
궕	gwolt
궖	gwolp
궗	gwolh
궘	gwom
궙	gwop
궚	gwops
궛	gwos
궜	gwoss
궝	gwong
궞	gwoj
궟	gwoch
궠	gwok
궡	gwot
궢	gwop
궣	gwoh
궤	gwe
궥	gwek
궦	gwekk
궧	gweks
궨	gwen
궩	gwenj
궪	gwenh
궫	gwet
궬	gwel
궭	gwelk
궮	gwelm
궯	gwelp
궰	gwels
궱	gwelt
궲	gwelp
궳	gwelh
궴	gwem
궵	gwep
궶	gweps
궷	gwes
궸	gwess
궹	gweng
궺	gwej
궻	gwech
궼	gwek
궽	gwet
궾	gwep
궿	gweh
귀	gwi
귁	gwik
귂	gwikk
귃	gwiks
귄	gwin
귅	gwinj
귆	gwinh
귇	gwit
귈	gwil
귉	gwilk
귊	gwilm
귋	gwilp
귌	gwils
귍	gwilt
귎	gwilp
귏	gwilh
귐	gwim
귑	gwip
귒	gwips
귓	gwis
귔	gwiss
귕	gwing
귖	gwij
귗	gwich
귘	gwik
귙	gwit
귚	gwip
귛	gwih
규	gyu
귝	gyuk
귞	gyukk
귟	gyuks
균	gyun
귡	gyunj
귢	gyunh
귣	gyut
귤	gyul
귥	gyulk
귦	gyulm
귧	gyulp
귨	gyuls
귩	gyult
귪	gyulp
귫	gyulh
귬	gyum
귭	gyup
귮	gyups
귯	gyus
귰	gyuss
귱	gyung
귲	gyuj
귳	gyuch
귴	gyuk
귵	gyut
귶	gyup
귷	gyuh
그	geu
극	geuk
귺	geukk
귻	geuks
근	geun
귽	geunj
귾	geunh
귿	geut
글	geul
긁	geulk
긂	geulm
긃	geulp
긄	geuls
긅	geult
긆	geulp
긇	geulh
금	geum
급	geup
긊	geups
긋	geus
긌	geuss
긍	geung
긎	geuj
긏	geuch
긐	geuk
긑	geut
긒	geup
긓	geuh
긔	gui
긕	guik
긖	guikk
긗	guiks
긘	guin
긙	guinj
긚	guinh
긛	guit
긜	guil
긝	guilk
긞	guilm
긟	guilp
긠	guils
긡	guilt
긢	guilp
긣	guilh
긤	guim
긥	guip
긦	guips
긧	guis
긨	guiss
긩	guing
긪	guij
긫	guich
긬	guik
긭	guit
긮	guip
긯	guih
기	gi
긱	gik
긲	gikk
긳	giks
긴	gin
긵	ginj
긶	ginh
긷	git
길	gil
긹	gilk
긺	gilm
긻	gilp
긼	gils
긽	gilt
긾	gilp
긿	gilh
김	gim
깁	gip
깂	gips
깃	gis
깄	giss
깅	ging
깆	gij
깇	gich
깈	gik
깉	git
깊	gip
깋	gih
까	kka
깍	kkak
깎	kkakk
깏	kkaks
깐	kkan
깑	kkanj
깒	kkanh
깓	kkat
깔	kkal
깕	kkalk
깖	kkalm
깗	kkalp
깘	kkals
깙	kkalt
깚	kkalp
깛	kkalh
깜	kkam
깝	kkap
깞	kkaps
깟	kkas
깠	kkass
깡	kkang
깢	kkaj
깣	kkach
깤	kkak
깥	kkat
깦	kkap
깧	kkah
깨	kkae
깩月	kkaek
깪	kkaekk
깫	kkaeks
깬	kkaen
깭	kkaenj
깮	kkaenh
깯	kkaet
깰	kkael
깱	kkaelk
깲	kkaelm
깳	kkaelp
깴	kkaels
깵	kkaelt
깶	kkaelp
깷	kkaelh
깸	kkaem
깹	kkaep
깺	kkaeps
깻	kkaes
깼	kkaess
깽	kkaeng
깾	kkaej
깿	kkaech
꺀	kkaek
꺁	kkaet
꺂	kkaep
꺃	kkaeh
꺄	kkya
꺅	kkyak
꺆	kkyakk
꺇	kkyaks
꺈	kkyan
꺉	kkyanj
꺊	kkyanh
꺋	kkyat
꺌	kkyal
꺍	kkyalk
꺎	kkyalm
꺏	kkyalp
꺐	kkyals
꺑	kkyalt
꺒	kkyalp
꺓	kkyalh
꺔	kkyam
꺕	kkyap
꺖	kkyaps
꺗	kkyas
꺘	kkyass
꺙	kkyang
꺚	kkyaj
꺛	kkyach
꺜	kkyak
꺝	kkyat
꺞	kkyap
꺟	kkyah
꺠	kkyae
꺡	kkyaek
꺢	kkyaekk
꺣	kkyaeks
꺤	kkyaen
꺥	kkyaenj
꺦	kkyaenh
꺧	kkyaet
꺨	kkyael
꺩	kkyaelk
꺪	kkyaelm
꺫	kkyaelp
꺬	kkyaels
꺭	kkyaelt
꺮	kkyaelp
꺯	kkyaelh
꺰	kkyaem
꺱	kkyaep
꺲	kkyaeps
꺳	kkyaes
꺴	kkyaess
꺵	kkyaeng
꺶	kkyaej
꺷	kkyaech
꺸	kkyaek
꺹	kkyaet
꺺	kkyaep
꺻	kkyaeh
꺼	kkeo
꺽	kkeok
꺾	kkeokk
꺿	kkeoks
껀	kkeon
껁	kkeonj
껂	kkeonh
껃	kkeot
껄	kkeol
껅	kkeolk
껆	kkeolm
껇	kkeolp
껈	kkeols
껉	kkeolt
껊	kkeolp
껋	kkeolh
껌	kkeom
껍	kkeop
껎	kkeops
껏	kkeos
껐	kkeoss
껑	kkeong
껒	kkeoj
껓	kkeoch
껔	kkeok
껕	kkeot
껖	kkeop
껗	kkeoh
께	kke
껙	kkek
껚	kkekk
껛	kkeks
껜	kken
껝	kkenj
껞	kkenh
껟	kket
껠	kkel
껡	kkelk
껢	kkelm
껣	kkelp
껤	kkels
껥	kkelt
껦	kkelp
껧	kkelh
껨	kkem
껩	kkep
껪	kkeps
껫	kkes
껬	kkess
껭	kkeng
껮	kkej
껯	kkech
껰	kkek
껱	kket
껲	kkep
껳	kkeh
껴	kkyeo
껵	kkyeok
껶	kkyeokk
껷	kkyeoks
껸	kkyeon
껹	kkyeonj
껺	kkyeonh
껻	kkyeot
껼	kkyeol
껽	kkyeolk
껾	kkyeolm
껿	kkyeolp
꼀	kkyeols
꼁	kkyeolt
꼂	kkyeolp
꼃	kkyeolh
꼄	kkyeom
꼅	kkyeop
꼆	kkyeops
꼇	kkyeos
꼈	kkyeoss
꼉	kkyeong
꼊	kkyeoj
꼋	kkyeoch
꼌	kkyeok
꼍	kkyeot
꼎	kkyeop
꼏	kkyeoh
꼐	kkye
꼑	kkyek
꼒	kkyekk
꼓	kkyeks
꼔	kkyen
꼕	kkyenj
꼖	kkyenh
꼗	kkyet
꼘	kkyel
꼙	kkyelk
꼚	kkyelm
꼛	kkyelp
꼜	kkyels
꼝	kkyelt
꼞	kkyelp
꼟	kkyelh
꼠	kkyem
꼡	kkyep
꼢	kkyeps
꼣	kkyes
꼤	kkyess
꼥	kkyeng
꼦	kkyej
꼧	kkyech
꼨	kkyek
꼩	kkyet
꼪	kkyep
꼫	kkyeh
꼬	kko
꼭	kkok
꼮	kkokk
꼯	kkoks
꼰	kkon
꼱	kkonj
꼲	kkonh
꼳	kkot
꼴	kkol
꼵	kkolk
꼶	kkolm
꼷	kkolp
