ᠠ	a
ᡡᡴ᠋	vk
ᡨᡝᡴ	tek
ᡨᡝᡴ᠋	tek
ᡴᡠᡴ	kuk
ᡴᡠᡴ᠋	kuk
ᡤᡠᡴ	guk
ᡤᡠᡴ᠋	guk
ᡥᡠᡴ	huk
ᡥᡠᡴ᠋	huk
ᠺᠠᡴ	kkak
ᠺᠠᡴ᠋	kkak
ᡬᠠᡴ	ggak
ᡬᠠᡴ᠋	ggak
ᡭᠠᡴ	hhak
ᡭᠠᡴ᠋	hhak
ᡤ	g
ᡤ᠋	g
ᡤᠠ	ga
ᡤᡝ	ge
ᡤᡳ	gi
ᡤᠣ	go
ᡤᡠ	gu
ᡤᡡ	gv
ᠠᡤ	ag
ᡝᡤ	eg
ᡳᡤ	ig
ᠣᡤ	og
ᡠᡤ	ug
ᡡᡤ	vg
ᡥ	h
ᡥ᠋	h
ᡥᠠ	ha
ᡥᡝ	he
ᡥᡳ	hi
ᡥᠣ	ho
ᡥᡠ	hu
ᡥᡡ	hv
ᡥᠠᠨ	han
ᠠᡥ	ah
ᡝᡥ	eh
ᡳᡥ	ih
ᠣᡥ	oh
ᡠᡥ	uh
ᡡᡥ	vh
ᠩ	ng
ᠠᠩ	ang
ᡝᠩ	eng
ᡳᠩ	ing
ᠣᠩ	ong
ᡠᠩ	ung
ᡡᠩ	vng
ᠩᡤ	ngg
ᠩᡤᠠ	ngga
ᠩᡤᡝ	ngge
ᠩᡤᡳ	nggi
ᠩᡤᠣ	nggo
ᠩᡤᡠ	nggu
ᠩᡤᡡ	nggv
ᠺ	kk
ᠺᠠ	kka
ᠺᠣ	kko
ᡬ	gg
ᡬᠠ	gga
ᡬᠣ	ggo
ᡭ	hh
ᡭᠠ	hha
ᡭᠣ	hho
ᡮ	ts
ᡮᠠ	tsa
ᡮᡝ	tse
ᡮᡟ	tsi
ᡮᠣ	tso
ᡮᡠ	tsu
ᡮᡡ	tsv
ᡯ	dz
ᡯᠠ	dza
ᡯᡝ	dze
ᡯᡳ	dzi
ᡯᠣ	dzo
ᡯᡠ	dzu
ᡯᡡ	dzv
ᡰ	z
ᡰᠠ	za
ᡰᡝ	ze
ᡰᡳ	zi
ᡰᠣ	zo
ᡰᡠ	zu
ᡰᡡ	zv
ᠰᡟ	sy
ᡱᡳ	cy
ᡷᡳ	jy
᠇	q
᠊	q
᠈	q
᠄	q
᠉	q
᠁	q
