一致      jat1zi3
鐵籤      tit3cim1
一說      jat1syut3
竹籤      zuk1cim1
口語      hau2jyu5
讀音      duk6jam1
藥丸      joek6jyun4
彈丸      daan6jyun4
寬心      fun1sam1
寬心丸兒  fun1sam1jyun4ji4
火齊珠 fo2zai6zyu1
齊衰  zi1ceoi1
齊盛  zi1sing4
齋菜  zaai1coi3
書齋  syu1zaai1
齋戒沐浴    zaai1gaai3muk6juk6
齋戒  zaai1gaai3
沐浴  muk6juk6
齌怒  zai1nou6
齍盛  zi1sing4
黍稷  syu2zik1
祭器  zai3hei3
齎恨  zai1han6
齎發  zai1faat3
齎志而沒    zai1zi3ji4mut6
容易  jung4ji6
齏粉  zai1fan2
齒輪  ci2leon4
牙齒  ngaa4ci2
齒冷  ci2laang5
齠齔  tiu4can3
童齔  tung4can3
齮齕  ji2hat6
齰齖  zaa6ngaa6
上下  soeng6haa6
對應  deoi3jing3
齖齵  ngaa6jyu4
不平  bat1ping4
平正  ping4zing3
牙齗  ngaa4ngan4
噤齘  gam3haai6
切齒含怒    cit3ci2ham4nou6
切齒  cit3ci2
含怒  ham4nou6
齙牙  baau6ngaa4
反芻  faan2co1
齜牙咧嘴    zi1ngaa4lit6zeoi2
牛隻反芻    ngau4zek3faan2co1
齞脣歷齒    jin6seon4lik6ci2
兔脣  tou3seon4
露齒  lou6ci2
齟齬  zeoi2jyu5
齠年  tiu4nin4
齠齔  tiu4can3
年齡  nin4ling4
芳齡  fong1ling4
齣子  ceot1zi2
齣兒  ceot1ji4
一齣戲 jat1ceot1hei3
齤然而笑    kyun4jin4ji4siu3
露齒而笑    lou6ci2ji4siu3
露齒  lou6ci2
避諱  bei6wai5
改為  goi2wai4
唐宗  tong4zung1
唐太宗 tong4taai3zung1
太宗  taai3zung1
咬嚙  ngaau5ngit6
牙齦  ngaa4ngan4
齒齦  ci2ngan4
齦齶  ngan4ngok6
齧臂  jit6bei3
蟲咬  cung4ngaau5
蟲咬鼠齧    cung4ngaau5syu2jit6 
齧雪餐氈    jit6syut3caan1zin1
啃咬  hang2ngaau5
侵蝕  cam1sik6
缺口  kyut3hau2
齪齪  cuk1cuk1
齷齪  ak1cuk1
打齪  daa2cuk1
齒起  ci2hei2
樣子  joeng6zi2
齟齬  zeoi2jyu5
齮齕  ji2hat6
齯齒  ngai4ci2
齰齖  zaa6ngaa6
齊合  cai4hap6
齰舌  zaak6sit6
咬舌  ngaau5sit6
齱齵  zau1jyu4
不正  bat1zing3
齲齒  geoi2ci2
棧齴巉嶮    zaan6ngaan5caam4him2
意指  ji3zi2
牙齒  ngaa4ci2
外露  ngoi6lou6
齵差  jyu4ci1
齶裂  ngok6lit6
軟齶  jyun5ngok6
齷齪  ak1cuk1
麋鹿  mei4luk6
反芻  faan2co1
反芻胃 faan2co1wai6
反胃  faan2wai6
泛指  faan3zi2
牛羊  ngau4joeng4
之類  zi1leoi6
動物  dung6mat6
參差不齊    caam1ci1bat1cai4
不齊  bat1cai4
參差  caam1ci1
齒根  ci2gan1
牙齒  ngaa4ci2
折斷  zit3dyun6
嚙咬  ngit6ngaau5
牙畔  ngaa4bun6
兩畔  loeng5bun6
最長  zeoi3coeng4
長者  zoeng2ze2
缺齾  kyut3ngaa3
疵齾  ci1ngaa3
高城齾齾    gou1sing4ngaa3ngaa3
龍舟  lung4zau1
龍門  lung4mun4
龍華  lung4waa4
龐大  pong4daai6
龐雜  pong4zaap6
龐然  pong4jin4
龐然大物    pong4jin4daai6mat6
龔姓  gung1sing3
龔氏  gung1si6
神龕  san4ham1
壁龕  bik1ham1
佛龕  fat6ham1
飛龍  fei1lung4
狀態  zong6taai3
龜年  gwai1nin4
龜板  gwai1baan2
龜卜  gwai1buk1
龜裂  gwan1lit6
不龜藥 bat1gwan1joek6
龜坼  gwan1caak3
龜茲  gau1ci4
西域  sai1wik6
國名  gwok3ming4
古樂  gu2ngok6
樂器  ngok6hei3
古代  gu2doi6
量度  loeng4dou6
單位  daan1wai6
部首  bou6sau2
自首  zi6sau3
之一  zi1jat1
翁同龢 jung1tung4wo4
清代  cing1doi6
一代  jat1doi6
名臣  ming4san4
官至  gun1zi3
軍機  gwan1gei1
大臣  daai6san4
意指  ji3zi2
樂聲  ngok6sing1
和諧  wo4haai4
嘔吐  au2tou3
