a ᠠ
re ᡵᡝ
ri ᡵᡳ
ro ᡵᠣ
ru ᡵᡠ
rv ᡵᡡ
ar ᠠᡵ
er ᡝᡵ
ir ᡳᡵ
or ᠣᡵ
ur ᡠᡵ
vr ᡡᡵ
y ᠶ
ya ᠶᠠ
ye ᠶᡝ
yi ᠶᡳ
yo ᠶᠣ
yu ᠶᡠ
yv ᠶᡡ
ay ᠠᠶ
ey ᡝᠶ
iy ᡳᠶ
oy ᠣᠶ
uy ᡠᠶ
vy ᡡᠶ
f ᡶ
fa ᡶᠠ
fe ᡶᡝ
fi ᡶᡳ
fo ᡶᠣ
fu ᡶᡠ
fv ᡶᡡ
af ᠠᡶ
ef ᡝᡶ
if ᡳᡶ
of ᠣᡶ
uf ᡠᡶ
vf ᡡᡶ
w ᠸ
wa ᠸᠠ
we ᠸᡝ
wi ᠸᡳ
wo ᠸᠣ
wu ᠸᡠ
wv ᠸᡡ
aw ᠠᠸ
ew ᡝᠸ
iw ᡳᠸ
ow ᠣᠸ
uw ᡠᠸ
vw ᡡᠸ
b ᠪ
ba ᠪᠠ
be ᠪᡝ
bi ᠪᡳ
bo ᠪᠣ
bu ᠪᡠ
bv ᠪᡡ
ab ᠠᠪ
eb ᡝᠪ
ib ᡳᠪ
ob ᠣᠪ
ub ᡠᠪ
vb ᡡᠪ
p ᡦ
pa ᡦᠠ
pe ᡦᡝ
pi ᡦᡳ
po ᡦᠣ
pu ᡦᡠ
pv ᡦᡡ
ap ᠠᡦ
ep ᡝᡦ
ip ᡳᡦ
op ᠣᡦ
up ᡠᡦ
vp ᡡᡦ
t ᡨ
ta ᡨᠠ
te ᡨᡝ
ti ᡨᡳ
to ᡨᠣ
tu ᡨᡠ
tv ᡨᡡ
at ᠠᡨ
et ᡝᡨ
it ᡳᡨ
ot ᠣᡨ
ut ᡠᡨ
vt ᡡᡨ
d ᡩ
da ᡩᠠ
de ᡩᡝ
di ᡩᡳ
do ᡩᠣ
du ᡩᡠ
dv ᡩᡡ
deri ᡩᡝᡵᡳ
ad ᠠᡩ
ed ᡝᡩ
id ᡳᡩ
od ᠣᡩ
ud ᡠᡩ
vd ᡡᡩ
k ᡴ
k ᡴ᠋
ka ᡴᠠ
ke ᡴᡝ
ki ᡴᡳ
ko ᡴᠣ
ku ᡴᡠ
kv ᡴᡡ
ak ᠠᡴ
ek ᡝᡴ
ik ᡳᡴ
ok ᠣᡴ
uk ᡠᡴ
vk ᡡᡴ
ak ᠠᡴ᠋
ek ᡝᡴ᠋
ik ᡳᡴ᠋
ok ᠣᡴ᠋
uk ᡠᡴ᠋
vk ᡡᡴ᠋
tek ᡨᡝᡴ
tek ᡨᡝᡴ᠋
kuk ᡴᡠᡴ
kuk ᡴᡠᡴ᠋
guk ᡤᡠᡴ
guk ᡤᡠᡴ᠋
huk ᡥᡠᡴ
huk ᡥᡠᡴ᠋
kkak ᠺᠠᡴ
kkak ᠺᠠᡴ᠋
ggak ᡬᠠᡴ
ggak ᡬᠠᡴ᠋
hhak ᡭᠠᡴ
hhak ᡭᠠᡴ᠋
g ᡤ
g ᡤ᠋
ga ᡤᠠ
ge ᡤᡝ
gi ᡤᡳ
go ᡤᠣ
gu ᡤᡠ
gv ᡤᡡ
ag ᠠᡤ
eg ᡝᡤ
ig ᡳᡤ
og ᠣᡤ
ug ᡠᡤ
vg ᡡᡤ
h ᡥ
h ᡥ᠋
ha ᡥᠠ
he ᡥᡝ
hi ᡥᡳ
ho ᡥᠣ
hu ᡥᡠ
hv ᡥᡡ
han ᡥᠠᠨ
ah ᠠᡥ
eh ᡝᡥ
ih ᡳᡥ
oh ᠣᡥ
uh ᡠᡥ
vh ᡡᡥ
ng ᠩ
ang ᠠᠩ
eng ᡝᠩ
ing ᡳᠩ
ong ᠣᠩ
ung ᡠᠩ
vng ᡡᠩ
ngg ᠩᡤ
ngga ᠩᡤᠠ
ngge ᠩᡤᡝ
nggi ᠩᡤᡳ
nggo ᠩᡤᠣ
nggu ᠩᡤᡠ
nggv ᠩᡤᡡ
kk ᠺ
kka ᠺᠠ
kko ᠺᠣ
gg ᡬ
gga ᡬᠠ
ggo ᡬᠣ
hh ᡭ
hha ᡭᠠ
hho ᡭᠣ
ts ᡮ
tsa ᡮᠠ
tse ᡮᡝ
tsi ᡮᡟ
tso ᡮᠣ
tsu ᡮᡠ
tsv ᡮᡡ
dz ᡯ
dza ᡯᠠ
dze ᡯᡝ
dzi ᡯᡳ
dzo ᡯᠣ
dzu ᡯᡠ
dzv ᡯᡡ
z ᡰ
za ᡰᠠ
ze ᡰᡝ
zi ᡰᡳ
zo ᡰᠣ
zu ᡰᡠ
zv ᡰᡡ
sy ᠰᡟ
cy ᡱᡳ
jy ᡷᡳ
