ㄱㄴ순 ㄱㄴ順
가람당 伽藍堂
가람신 伽藍神
가람조과 伽藍鳥科
가랑이표 가랑이標
가량 假量
가량 加良
가량국 加良國
가량없다 假量없다
가량없이 假量없이
가량통 假量통
가량하다 假量하다
가려 佳麗
가려 可慮
가려하다 佳麗하다
가력 家力
가련 可憐
가련수정과 加蓮水正果
가련하다 可憐하다
가련히 可憐히
가렴 加斂
가렴 苛斂
가렴잡세 苛斂雜稅
가렴주구 苛斂誅求
가령 假令
가령 加齡
가령 家令
가령 家領
가령 苛令
가례 嘉禮
가례 家例
가례 家禮
가례고증 家禮考證
가례도감 嘉禮都監
가례도감의궤 嘉禮都監儀軌
가례색 嘉禮色
가례언해 家禮諺解
가례원류 家禮源流
가례증해 家禮增解
가례집고 家禮集考
가례집람 家禮輯覽
가로 家老
가로 街路
가로등 街路燈
가로막 가로膜
가로무늬근 가로무늬筋
가로변 街路邊
가로수 街路樹
가로원 街路園
가로전도 街路傳道
가로좌표 가로座標
가로축 가로軸
가로획 가로劃
가록 加錄
가록 家祿
가록하다 加錄하다
가론 歌論
가롱성진 假弄成眞
가료 加料
가료 加療
가료하다 加療하다
가루 家累
가루라 迦樓羅
가루라법 迦樓羅法
가루라염 迦樓羅炎
가루분 가루粉
가루약 가루藥
가루우유 가루牛乳
가루즙 가루汁
가류 加硫
가류계수 加硫係數
가류유 加硫油
가름막 가름膜
가릉 訶陵
가릉빈가 迦陵頻伽
가리 假吏
가리 加里
가리 苛吏
가리 街里
가리왕산 加里旺山
가리킴대명사 가리킴代名詞
가리킴대이름씨 가리킴代이름씨
가리탕 가리湯
가마 加麻
가마 家馬
가마호수 가마戶首
가막소 監獄署
가맛방석 가맛方席
가망 加望
가망 可望
가망성 可望性
가망하다 加望하다
가매 假埋
가매 假寐
가매 價買
가매 嫁賣
가매장 假埋葬
가매장하다 假埋葬하다
가매하다 假埋하다
가맹 加盟
가맹국 加盟國
가맹점 加盟店
가맹하다 加盟하다
가면 假免
가면 假面
가면극 假面劇
가면무 假面舞
가면무도 假面舞蹈
가면무도회 假面舞蹈會
가면의신 假面擬神
가면적 假面的
가면제 假免除
가면허 假免許
가면현상 假面現象
가면희 假面戱
가명 佳名
가명 假名
가명 嘉名
가명 家名
가명계좌 假名計座
가명보살 假名菩薩
가명종 假名宗
가모 家母
가목 嘉木
가몽고 假蒙古
가묘 家廟
가묘 家猫
가묘제 家廟制
가무 加貿
가무 家務
가무 歌舞
가무관청계 歌舞觀廳戒
가무단 歌舞團
가무담석 家無擔石
가무백희 歌舞百戱
가무별감 歌舞別監
가무보살 歌舞菩薩
가무연 歌舞宴
가무음곡 歌舞音曲
가문 假門
가문 價文
가문 嘉聞
가문 家門
가문서 假文書
가문설화 可聞說話
가문형 家門刑
가뭄해 가뭄害
가미 加味
가미 加米
가미 嘉味
가미 架尾
가미하다 加味하다
가박 假泊
가박지 假泊地
가반 加飯
가반교 可搬橋
가반자 嫁反者
가반하다 加飯하다
가발 假髮
가방 假房
가방면 假放免
가방면하다 假放免하다
가방성 可紡性
가방화주 街坊化主
가배 嘉俳
가배 嘉排
가배일 가배日
가배절 가배節
가백 家伯
가백작약 家白芍藥
가벌 家閥
가범 家範
가법 假法
가법 加法
가법 家法
가법 苛法
가법혼색 加法混色
가벼운쌍비읍 가벼운雙비읍
가벽 歌癖
가벽문천 呵壁問天
가변 可變
가변 家變
가변변압기 可變變壓器
가변보급품 可變補給品
가변비용 可變費用
가변성 可變性
가변속낙하산 可變速落下傘
가변요소 可變要素
가변요인 可變要因
가변익기 可變翼機
가변자본 可變資本
가변저항 可變抵抗
가변저항기 可變抵抗器
가변적 可變的
가변차선 可變車線
가변축전기 可變蓄電器
가별초 家別抄
가병 假病
가병 家兵
가보 家寶
가보 家譜
가보세요 가보세謠
가보왕 嘉寶王
가복 加卜
가복 家僕
가복 家福
가복하다 加卜하다
가본 假本
가봉 假縫
가봉 加俸
가봉 加捧
가봉녀 加捧女
가봉자 加捧子
가봉하다 假縫하다
가부 可否
가부 家夫
가부 家父
가부간 可否間
가부결정 可否決定
가부권 家父權
가부득감부득 加不得減不得
가부장 家父長
가부장권 家父長權
가부장적 家父長的
가부장제 家父長制
가부장제국가 家父長制國家
가부좌 跏趺坐
가부좌하다 跏趺坐하다
가부편 可否便
가분 假扮
가분 加分
가분 可分
가분급부 可分給付
가분물 可分物
가분비 可分費
가분수 假分數
가분조항 可分條項
가분채권 可分債權
가분채무 可分債務
가불 假拂
가불가 可不可
가불금 假拂金
가붕 佳朋
가붕대소 假繃帶所
가비 家婢
가비라외도 迦毘羅外道
가비라천 迦毘羅天
가비원리 加比原理
가빈 家殯
가빈 家貧
가빈사양처 家貧思良妻
가빈하다 家殯하다
가빈하다 家貧하다
가사 佳士
가사 佳詞
가사 假使
가사 假死
가사 加賜
가사 嘉事
가사 家事
가사 家士
가사 家舍
가사 歌詞
가사 歌辭
가사 稼事
가사 袈裟
가사경제 家事經濟
가사과 家事科
가사노동 家事勞動
가사득결 家事得決
가사문학 歌辭文學
가사불사 袈裟佛事
가사사건 家事事件
가사사용인 家事使用人
가사시간 可使時間
가사시주 袈裟施主
가사심판 家事審判
가사심판관 家事審判官
가사심판법 家事審判法
가사정제 家舍定制
가사제 家舍制
가사조사관 家事調査官
가사조정 家事調停
가사지인 可使之人
가사체 歌辭體
가사통기 家舍統記
가산 假山
가산 加算
가산 可算
가산 家山
가산 家産
가산금 加算金
가산기 加算機
가산란 嘉山亂
가산명사 可算名詞
가산세 加算稅
가산세율 加算稅率
가산오광대 駕山五廣大
가산제도 家産制度
가산집합 可算集合
가산하다 加算하다
가산혼합 加算混合
가삼 家蔘
가상 假像
가상 假想
가상 假相
가상 假象
가상 嘉尙
가상 嘉祥
가상 嘉賞
가상 家相
가상 架上
가상 街上
가상감정 假象感情
가상계 可想界
가상극 假想劇
가상사 加賞賜
가상운동 假象運動
가상적 假想敵
가상적 假想的
가상적 假象的
가상적국 假想敵國
가상적군 假想敵軍
가상조건 假想條件
가상존호 加上尊號
가상지상 加上之上
가상하다 假想하다
가상하다 嘉尙하다
가상현실 假想現實
가상훈련 假想訓鍊
가상히 嘉尙히
가새염 가새簾
가새주뢰 가새周牢
가새주리 周牢
가새진 가새陣
가새차 가새車
가새표 가새標
가색 假色
가색 稼穡
가색법 加色法
가색혼합 加色混合
가생 家生
가서 佳壻
가서 加敍
가서 加署
가서 家書
가서 歌序
가서봉 哥舒棒
가서하다 加敍하다
가석 加席
가석 可惜
가석 嘉石
가석방 假釋放
가석방자 假釋放者
가석방하다 假釋放하다
가석하다 可惜하다
가석히 可惜히
가선 加線
가선 加膳
가선 架線
가선 가線
가선공사 架線工事
가선대부 嘉善大夫
가선하다 架線하다
가설 假設
가설 假說
가설 加設
가설 架設
가설 街說
가설갑판 加設甲板
가설검정 假說檢定
가설공사 假設工事
가설극장 假設劇場
가설단부 加設單付
가설동지 加設同知
가설등기 假設登記
가설무대 假設舞臺
가설법 假說法
가설비 假設費
가설연역법 假說演繹法
가설인 假設人
가설적 假設敵
가설적 假說的
가설지사 假設知事
가설추리 假說推理
가설판단 假說判斷
가설하다 假設하다
가설하다 架設하다
가설항담 街說巷談
가성 佳城
가성 假性
가성 假聲
가성 家性
가성 家聲
가성 歌聲
가성 苛性
가성가리 苛性加里
가성근시 假性近視
가성대 假聲帶
가성도 苛性度
가성명 假姓名
가성문 假聲門
가성반음양 假性半陰陽
가성비대 假性肥大
가성빈혈 假性貧血
가성석회 苛性石灰
가성세척 苛性洗滌
가성세척액 苛性洗滌液
가성소다 苛性소다
가성알칼리 苛性알칼리
가성알코올 苛性알코올
가성염기 苛性鹽基
가성조달 苛性曹達
가성직제도 假聖職制度
가성칼리 苛性칼리
가성피저 假性皮疽
가성화합물 加成化合物
가세 加勢
가세 加稅
가세 嫁稅
가세 家世
가세 家勢
가세 家貰
가세 苛稅
가세 苛細
가세하다 加勢하다
가세하다 嫁稅하다
가세하다 苛細하다
가소 佳宵
가소 假笑
가소 假蘇
가소 可笑
가소 家小
가소 苛小
가소로이 可笑로이
가소롭다 可笑롭다
가소물 可塑物
가소성 可塑性
가소성물질 可塑性物質
가소제 可塑劑
가소하다 假笑하다
가속 加速
가속 家屬
가속기 加速器
가속도 加速度
가속도계 加速度計
가속도계수 加速度係數
가속도내성 加速度耐性
가속도법칙 加速度法則
가속도병 加速度病
가속도운동 加速度運動
가속도원리 加速度原理
가속도인자 加速度因子
가속도적 加速度的
가속상각 加速償却
가속성능 加速性能
가속운동 加速運動
가속입자 加速粒子
가속장치 加速裝置
가속적 加速的
가속전극 加速電極
가속하다 加速하다
가손 家孫
가손 家損
가솔 家率
가송 架松
가송 歌頌
가송장 假送狀
가쇄 假刷
가쇄 枷鎖
가쇄하다 假刷하다
가쇄하다 枷鎖하다
가수 假受
가수 假數
가수 假睡
가수 假需
가수 假首
가수 價數
가수 加修
가수 加數
가수 加水
가수 加羞
가수 嫁樹
가수 家嫂
가수 家數
가수 枷囚
가수 歌手
가수 稼樹
가수결절 歌手結節
가수금 假受金
가수금계정 假受金計定
가수분해 加水分解
가수요 假需要
가수요자 假需要者
가수용소 假收容所
가수하다 枷囚하다
가수해리 加水解離
가숙 家叔
가숙 家塾
가술 家術
가스관 가스管
가스난로 가스煖爐
가스등 가스燈
가스병기 가스兵器
가스사 가스絲
가스성운 가스星雲
가스액 가스液
가스온도계 가스溫度計
가스전 가스戰
가스전 가스田
가스전구 가스電球
가스전지 가스電池
가스중독 가스中毒
가스직 가스織
가스총 가스銃
가스층 가스層
가스탄 가스彈
가스폭탄 가스爆彈
가스풍로 가스風爐
가슴관 가슴管
가슴만 가슴卍
가슴상 가슴像
가슴운동 가슴運動
가습기 加濕器
가승 佳勝
가승 假僧
가승 加升
가승 可勝
가승 家乘
가승 家升
가승 家蠅
가승과 家蠅科
가승미 加升米
가승전색 假承傳色
가승지 假承旨
가승하다 加升하다
가시 佳詩
가시 假時
가시 可視
가시 歌詩
가시각 可視角
가시거리 可視距離
가시관 가시冠
가시광선 可視光線
가시련 가시蓮
가시면류관 가시冕旒冠
가시목 가시木
가시목표 可視目標
가시반경 可視半徑
가시선 可視線
가시성 가시城
가시신호 可視信號
가시연꽃 가시蓮꽃
가시연밥 가시蓮밥
가시철 가시鐵
가시철사 가시鐵絲
가시통 가시桶
가시화 可視化
가시화하다 可視化하다
가식 假植
가식 假飾
가식 加飾
가식법 假飾法
가식적 假飾的
가식지물 可食之物
가식하다 假植하다
가식하다 假飾하다
가신 佳辰
가신 嘉辰
가신 家信
가신 家神
가신 家臣
가신신앙 家神信仰
가신제 家神祭
가신지인 可信之人
가실 佳實
가실 嘉實
가실 家室
가실왕 嘉實王
가십난 가십欄
가아 假我
가아 家兒
가악 嘉樂
가악 歌樂
가안지곡 嘉安之曲
가압 加壓
가압 家鴨
가압기 加壓器
가압기 加壓機
가압류 假押留
가압류결정 假押留決定
가압류명령 假押留命令
가압류법원 假押留法阮
가압류하다 假押留하다
가압박리 加壓剝離
가압성형 加壓成型
가압조정 加壓調整
가압주조 加壓鑄造
가압하다 加壓하다
가앙 苛殃
가애 加愛
가애 可愛
가애 嘉愛
가액 價額
가액 加額
가액하다 加額하다
가야 伽倻
가야 伽耶
가야 加耶
가야국 伽倻國
가야금 伽倻琴
가야금산조 伽倻琴散調
가약 佳約
가약 假若
가약 可約
가약분수 可約分數
가약분수식 可約分數式
가약정 假約定
가약하다 佳約하다
가양 佳釀
가양 家樣
가양 家釀
가양주 家釀酒
가양하다 家釀하다
가어 加魚
가어 嘉魚
가어 家語
가어 駕御
가언 佳言
가언 假言
가언 嘉言
가언명령 假言命令
가언명법 假言命法
가언명제 假言命題
가언선행 嘉言善行
가언적 假言的
가언적삼단논법 假言的三段論法
가언추론 假言推論
가언추리 假言推理
가언판단 假言判斷
가엄 家嚴
가엄 苛嚴
가업 家業
가업 稼業
가업 街業
가여 駕輿
가역 假驛
가역 可逆
가역 家役
가역 苛役
가역반응 可逆反應
가역변화 可逆變化
가역성 可逆性
가역전극 可逆電極
가역전지 可逆電池
가역행렬 可逆行列
가역회로 可逆回路
가연 佳宴
가연 佳緣
가연 可燃
가연 可練
가연 家宴
가연물 可燃物
가연물질 可燃物質
가연성 可燃性
가연성 可練性
가연효과 加鉛效果
가열 假熱
가열 加熱
가열 嘉悅
가열 苛烈
가열 苛烈
가열곡선 加熱曲線
가열기 加熱器
가열로 加熱爐
가열살균 加熱殺菌
가열일로 加熱一路
가열접착 加熱接着
가열착색 加熱着色
가열하다 加熱하다
가열하다 苛烈하다
가열히 苛烈히
가엽 假葉
가엽 柯葉
가영 歌詠
가영업 假營業
가영업소 假營業所
가영하다 歌詠하다
가예 家隸
가예산 假豫算
가오리연 가오리鳶
가옥 假屋
가옥 假獄
가옥 假玉
가옥 家屋
가옥대장 家屋臺帳
가옥세 家屋稅
가온 加溫
가온도 假溫度
가온음 가온音
가왕 假王
가외 加外
가외 可畏
가욋일 加外일
가요 可撓
가요 哥窯
가요 歌謠
가요계 歌謠界
가요곡 歌謠曲
가요대상 歌謠大賞
가요만담 歌謠漫談
가요문 哥窯紋
가요성 可撓性
가요형식 歌謠形式
가용 佳容
가용 加用
가용 可溶
가용 可用
가용 可鎔
가용 家用
가용 家茸
가용공물 加用貢物
가용노동 可用勞動
가용물 可溶物
가용성 可溶性
가용성 可鎔性
가용성전분 可溶性澱粉
가용시간 可用時間
가용액 可用額
가용역량 可用力量
가용인구 可容人口
가용인력 可用人力
가용재원 可用財源
가용하다 家用하다
가용합금 可鎔合金
가우 佳偶
가우 假寓
가우 嘉優
가우 駕牛
가우일 嘉優日
가우절 嘉優節
가운 家運
가운뎃점 가운뎃點
가원 街園
가월 佳月
가월 嘉月
가위 可謂
가위다리봉사 가위다리奉祀
가위다리양자 가위다리養子
가위다리양자하다 가위다리養子하다
가위다리차 가위다리車
가위력 加威力
가위염 가위簾
가위표 가위標
가유 假有
가유 加由
가유하다 加由하다
가유호세 家諭戶說
가율 加律
가융 可融
가융금 可融金
가융성 可融性
가융합금 可融合金
가은 假銀
가은 加恩
가음 加音
가의 佳意
가의 加意
가의 加衣
가의 可疑
가의 嘉儀
가의 歌意
가의대부 嘉義大夫
가이 可이
가이동가이서 可以東可以西
가이택 加伊宅
가인 佳人
가인 家人
가인 歌人
가인괘 家人卦
가인박명 佳人薄命
가인산분해 可燐酸分解
가인의 假引儀
가인재자 佳人才子
가인전목단 佳人剪牧丹
가일 佳日
가일 嘉日
가일 暇日
가일과 加一瓜
가일배법 加一倍法
가일층 加一層
가임 家賃
가입 加入
가입강제 加入强制
가입권 加入權
가입문제 加入問題
가입자 加入者
가입자선 加入者線
가입전신 加入電信
가입전화 加入電話
가입하다 加入하다
가자 假子
가자 加資
가자 嫁資
가자 家資
가자 架子
가자 茄子
가자군 架子軍
가자산적 茄子散炙
가자적 茄子炙
가자증 茄子蒸
가자첩 加資帖
가자체 加資帖
가자화향적 茄子花香炙
가작 佳作
가작 假作
가작 家作
가작약 家芍藥
가작하다 假作하다
가작허결 假作虛結
가잠 家蠶
가잠어 加蠶魚
가장 假葬
가장 假裝
가장 家藏
가장 家長
가장 家狀
가장권 家長權
가장귀창 가장귀槍
가장녀 假裝女
가장매매 假裝賣買
가장무도 假裝舞蹈
가장무도회 假裝舞蹈會
가장물 假裝物
가장분면 假裝粉面
가장비 假張飛
가장순양함 假裝巡洋艦
가장실업 假裝失業
가장십물 家藏什物
가장자본 假裝資本
가장적선점 假裝的先占
가장제도 家長制度
가장조건 假裝條件
가장집물 家藏什物
가장하다 假葬하다
가장하다 假裝하다
가장하다 家藏하다
가장행렬 假裝行列
가장행위 假裝行爲
가장회 假裝會
가재 家財
가재 歌才
가재기물 家財器物
가재도구 家財道具
가재수염 가재鬚髥
가저 茄菹
가적 佳適
가적 假敵
가적 家嫡
가적하다 佳適하다
가전 價錢
가전 加田
가전 加錢
가전 嘉典
가전 家傳
가전 家電
가전 駕前
가전가후 駕前駕後
가전군 駕前軍
가전기 駕前旗
가전별초 駕前別抄
가전보옥 家傳寶玉
가전비방 家傳秘方
가전산업 家電産業
가전악 假典樂
가전업계 家電業界
가전업체 家電業體
가전제품 家電製品
가전지물 家傳之物
가전지보 家傳之寶
가전체 假傳體
가전체소설 假傳體小說
가전하다 家傳하다
가전학 家傳學
가절 佳節
가절 佳絶
가절 價折
가절 嘉節
가절전문 價折錢文
가절하다 佳絶하다
가점 加點
가점하다 加點하다
가정 假定
가정 假晶
가정 加定
가정 嘉靖
가정 家丁
가정 家庭
가정 家政
가정 苛政
가정 駕丁
가정거장 假停車場
가정경제 家政經濟
가정경제학 家政經濟學
가정공업 家庭工業
가정과 家政科
가정관 加定官
가정관리 家庭管理
가정교사 家庭敎師
가정교육 家庭敎育
가정교훈 家庭敎訓
가정극 家庭劇
가정기능 家庭機能
가정대부 嘉靖大夫
가정대학 家政大學
가정란 家庭欄
가정류소 假停留所
가정류장 假停留場
가정맹어호 苛政猛於虎
가정면 家庭面
가정문제 家庭問題
가정미 加定米
가정방문 家庭訪問
가정배달 家庭配達
가정법 假定法
가정법원 家庭法院
가정복 家庭服
가정부 假政府
가정부 家政婦
가정부인 家庭婦人
가정불화 家庭不和
가정상담소 家庭相談所
가정상비약 家庭常備藥
가정생활 家庭生活
가정소설 家庭小說
가정실습 家庭實習
가정약 家庭藥
가정오락 家庭娛樂
가정오랑캐 家丁오랑캐
가정음악 家庭音樂
가정의 家庭醫
가정의례 家庭儀禮
가정의례준칙 家庭儀禮準則
가정잡지 家庭雜誌
가정쟁의 家庭爭議
가정적 假定的
가정적 家庭的
가정적주장 假定的主張
가정적처분 假定的處分
가정적항변 假定的抗辯
가정전기 家庭電氣
가정전기기기 家庭電氣機器
가정중학 家庭中學
가정지학 家庭之學
가정집 家庭집
가정통신 家庭通信
가정파괴범 家庭破壞犯
가정하다 假定하다
가정학 家庭學
가정학 家政學
가정학습 家庭學習
가정혐기증 家庭嫌忌症
가정환경 家庭環境
가제 假製
가제 假諦
가제 加除
가제 家弟
가제 歌題
가제목 假題目
가제본 假製本
가제본하다 假製本하다
가제식 加除式
가제하다 假製하다
가제하다 加除하다
가제회 哥弟會
가조 佳兆
가조 假造
가조 嘉兆
가조 家祖
가조각 假爪角
가조수 嫁棗樹
가조시간 可照時間
가조약 假條約
가조인 假調印
가조인되다 假調印되다
가조인하다 假調印하다
가조하다 假造하다
가족 假足
가족 家族
가족계획 家族計劃
가족공동장 家族共同葬
가족관계 家族關係
가족국가 家族國家
가족노동 家族勞動
가족동반 家族同伴
가족묘 家族墓
가족묘지 家族墓地
가족문제 家族問題
가족법 家族法
가족보험 家族保險
